Date,Symbol,Close
2000-01-03,HDFC,293.5
2000-01-04,HDFC,304.05
2000-01-05,HDFC,292.8
2000-01-06,HDFC,296.45
2000-01-07,HDFC,286.55
2000-01-10,HDFC,287.2
2000-01-11,HDFC,283.85
2000-01-12,HDFC,285.6
2000-01-13,HDFC,283.85
2000-01-14,HDFC,286.55
2000-01-17,HDFC,302.2
2000-01-18,HDFC,305.75
2000-01-19,HDFC,305.25
2000-01-20,HDFC,291.35
2000-01-21,HDFC,299.55
2000-01-24,HDFC,293.05
2000-01-25,HDFC,303.15
2000-01-27,HDFC,316.6
2000-01-28,HDFC,324.4
2000-01-31,HDFC,333.5
2000-02-01,HDFC,350.55
2000-02-02,HDFC,351.4
2000-02-03,HDFC,341.9
2000-02-04,HDFC,357.2
2000-02-07,HDFC,355.45
2000-02-08,HDFC,350.5
2000-02-09,HDFC,329.15
2000-02-10,HDFC,320.35
2000-02-11,HDFC,343.65
2000-02-14,HDFC,359.15
2000-02-15,HDFC,332.6
2000-02-16,HDFC,341.6
2000-02-17,HDFC,339.2
2000-02-18,HDFC,327.9
2000-02-21,HDFC,319.15
2000-02-22,HDFC,305.95
2000-02-23,HDFC,330.45
2000-02-24,HDFC,351.7
2000-02-25,HDFC,379.85
2000-02-28,HDFC,409.7
2000-02-29,HDFC,401.7
2000-03-01,HDFC,433.85
2000-03-02,HDFC,468.6
2000-03-03,HDFC,473.05
2000-03-06,HDFC,443.5
2000-03-07,HDFC,412.2
2000-03-08,HDFC,416.7
2000-03-09,HDFC,399.6
2000-03-10,HDFC,397.55
2000-03-13,HDFC,381.6
2000-03-14,HDFC,396.65
2000-03-15,HDFC,400.5
2000-03-16,HDFC,398.2
2000-03-21,HDFC,406.35
2000-03-22,HDFC,413.25
2000-03-23,HDFC,409.85
2000-03-24,HDFC,416.8
2000-03-27,HDFC,417.4
2000-03-28,HDFC,412.7
2000-03-29,HDFC,380.3
2000-03-30,HDFC,363.85
2000-03-31,HDFC,393.0
2000-04-03,HDFC,424.45
2000-04-04,HDFC,458.45
2000-04-05,HDFC,469.8
2000-04-06,HDFC,459.25
2000-04-07,HDFC,490.95
2000-04-10,HDFC,477.7
2000-04-11,HDFC,464.3
2000-04-12,HDFC,453.25
2000-04-13,HDFC,448.7
2000-04-17,HDFC,433.1
2000-04-18,HDFC,445.4
2000-04-19,HDFC,459.35
2000-04-20,HDFC,475.1
2000-04-24,HDFC,448.05
2000-04-25,HDFC,456.9
2000-04-26,HDFC,460.65
2000-04-27,HDFC,460.15
2000-04-28,HDFC,472.35
2000-05-02,HDFC,479.35
2000-05-03,HDFC,460.85
2000-05-04,HDFC,455.75
2000-05-05,HDFC,449.0
2000-05-08,HDFC,437.55
2000-05-09,HDFC,424.95
2000-05-10,HDFC,441.75
2000-05-11,HDFC,448.65
2000-05-12,HDFC,461.05
2000-05-15,HDFC,460.4
2000-05-16,HDFC,471.75
2000-05-17,HDFC,461.35
2000-05-18,HDFC,465.45
2000-05-19,HDFC,477.65
2000-05-22,HDFC,486.15
2000-05-23,HDFC,501.9
2000-05-24,HDFC,486.4
2000-05-25,HDFC,473.0
2000-05-26,HDFC,483.3
2000-05-29,HDFC,541.3
2000-05-30,HDFC,543.65
2000-05-31,HDFC,478.45
2000-06-01,HDFC,496.35
2000-06-02,HDFC,525.35
2000-06-05,HDFC,544.7
2000-06-06,HDFC,530.7
2000-06-07,HDFC,513.2
2000-06-08,HDFC,515.25
2000-06-09,HDFC,509.35
2000-06-12,HDFC,503.6
2000-06-13,HDFC,495.35
2000-06-14,HDFC,488.2
2000-06-15,HDFC,484.85
2000-06-16,HDFC,499.85
2000-06-19,HDFC,504.1
2000-06-20,HDFC,509.2
2000-06-21,HDFC,525.1
2000-06-22,HDFC,525.35
2000-06-23,HDFC,536.25
2000-06-26,HDFC,541.15
2000-06-27,HDFC,558.2
2000-06-28,HDFC,551.55
2000-06-29,HDFC,548.15
2000-06-30,HDFC,551.65
2000-07-03,HDFC,548.7
2000-07-04,HDFC,480.0
2000-07-05,HDFC,484.65
2000-07-06,HDFC,511.25
2000-07-07,HDFC,499.9
2000-07-10,HDFC,489.85
2000-07-11,HDFC,481.2
2000-07-12,HDFC,490.55
2000-07-13,HDFC,487.65
2000-07-14,HDFC,478.55
2000-07-17,HDFC,480.95
2000-07-18,HDFC,475.55
2000-07-19,HDFC,475.3
2000-07-20,HDFC,511.65
2000-07-21,HDFC,509.25
2000-07-24,HDFC,501.0
2000-07-25,HDFC,498.4
2000-07-26,HDFC,499.75
2000-07-27,HDFC,500.3
2000-07-28,HDFC,500.05
2000-07-31,HDFC,505.9
2000-08-01,HDFC,499.3
2000-08-02,HDFC,491.75
2000-08-03,HDFC,489.15
2000-08-04,HDFC,503.15
2000-08-07,HDFC,502.75
2000-08-08,HDFC,505.55
2000-08-09,HDFC,493.55
2000-08-10,HDFC,496.05
2000-08-11,HDFC,504.95
2000-08-14,HDFC,503.15
2000-08-16,HDFC,522.8
2000-08-17,HDFC,513.0
2000-08-18,HDFC,501.1
2000-08-21,HDFC,490.4
2000-08-22,HDFC,482.9
2000-08-23,HDFC,489.6
2000-08-24,HDFC,495.35
2000-08-25,HDFC,500.5
2000-08-28,HDFC,500.7
2000-08-29,HDFC,505.0
2000-08-30,HDFC,520.15
2000-08-31,HDFC,524.05
2000-09-04,HDFC,528.25
2000-09-05,HDFC,544.6
2000-09-06,HDFC,539.95
2000-09-07,HDFC,534.3
2000-09-08,HDFC,532.2
2000-09-11,HDFC,529.45
2000-09-12,HDFC,520.65
2000-09-13,HDFC,506.0
2000-09-14,HDFC,513.55
2000-09-15,HDFC,507.5
2000-09-18,HDFC,499.55
2000-09-19,HDFC,502.05
2000-09-20,HDFC,500.0
2000-09-21,HDFC,499.7
2000-09-22,HDFC,481.0
2000-09-25,HDFC,474.95
2000-09-26,HDFC,445.15
2000-09-27,HDFC,426.55
2000-09-28,HDFC,441.05
2000-09-29,HDFC,437.85
2000-10-03,HDFC,433.9
2000-10-04,HDFC,439.0
2000-10-05,HDFC,439.0
2000-10-06,HDFC,449.45
2000-10-09,HDFC,449.25
2000-10-10,HDFC,455.95
2000-10-11,HDFC,448.6
2000-10-12,HDFC,449.65
2000-10-13,HDFC,450.0
2000-10-16,HDFC,450.85
2000-10-17,HDFC,458.8
2000-10-18,HDFC,458.75
2000-10-19,HDFC,477.4
2000-10-20,HDFC,469.75
2000-10-23,HDFC,464.65
2000-10-24,HDFC,457.35
2000-10-25,HDFC,462.2
2000-10-26,HDFC,461.3
2000-10-27,HDFC,464.1
