SYMBOL,ASIANPAINT,HDFC,ITC
Date,,,
2000-01-03,381.65,293.5,708.5
2000-01-04,385.55,304.05,712.35
2000-01-05,383.0,292.8,726.2
2000-01-06,377.5,296.45,784.3
2000-01-07,385.7,286.55,847.05
2000-01-10,415.0,287.2,914.85
2000-01-11,415.2,283.85,883.7
2000-01-12,417.65,285.6,888.35
2000-01-13,418.7,283.85,879.75
2000-01-14,410.0,286.55,887.55
2000-01-17,411.35,302.2,817.35
2000-01-18,414.05,305.75,821.35
2000-01-19,419.35,305.25,826.1
2000-01-20,420.55,291.35,786.1
2000-01-21,425.85,299.55,831.55
2000-01-24,458.4,293.05,792.45
2000-01-25,494.7,303.15,729.55
2000-01-27,472.95,316.6,778.85
2000-01-28,480.65,324.4,719.2
2000-01-31,460.5,333.5,692.2
2000-02-01,460.3,350.55,701.55
2000-02-02,460.1,351.4,714.05
2000-02-03,456.1,341.9,709.1
2000-02-04,456.7,357.2,695.5
2000-02-07,453.65,355.45,747.3
2000-02-08,459.85,350.5,763.25
2000-02-09,457.15,329.15,824.35
2000-02-10,440.9,320.35,890.3
2000-02-11,443.35,343.65,961.55
2000-02-14,431.75,359.15,932.55
2000-02-15,416.65,332.6,1006.5
2000-02-16,399.1,341.6,997.2
2000-02-17,392.6,339.2,1030.1
2000-02-18,402.45,327.9,956.8
2000-02-21,402.75,319.15,979.9
2000-02-22,400.45,305.95,941.3
2000-02-23,406.85,330.45,866.05
2000-02-24,400.5,351.7,842.7
2000-02-25,392.95,379.85,810.15
2000-02-28,400.45,409.7,803.5
2000-02-29,376.4,401.7,746.85
2000-03-01,399.7,433.85,753.75
2000-03-02,390.0,468.6,724.6
2000-03-03,404.8,473.05,675.35
2000-03-06,398.05,443.5,729.4
2000-03-07,376.55,412.2,780.6
2000-03-08,399.95,416.7,807.55
2000-03-09,423.5,399.6,828.7
2000-03-10,402.2,397.55,837.4
2000-03-13,399.95,381.6,829.05
2000-03-14,400.15,396.65,859.0
2000-03-15,407.45,400.5,851.7
2000-03-16,410.0,398.2,785.65
2000-03-21,418.05,406.35,725.15
2000-03-22,422.5,413.25,740.45
2000-03-23,416.15,409.85,704.75
2000-03-24,415.35,416.8,721.4
2000-03-27,415.6,417.4,720.5
2000-03-28,417.0,412.7,701.95
2000-03-29,415.0,380.3,723.15
2000-03-30,437.75,363.85,720.15
2000-03-31,423.2,393.0,741.45
2000-04-03,413.6,424.45,797.0
2000-04-04,413.1,458.45,733.25
2000-04-05,411.2,469.8,698.75
2000-04-06,409.55,459.25,682.8
2000-04-07,415.4,490.95,730.95
2000-04-10,413.9,477.7,736.0
2000-04-11,434.8,464.3,717.0
2000-04-12,424.95,453.25,721.85
2000-04-13,419.15,448.7,685.65
2000-04-17,419.8,433.1,630.8
2000-04-18,418.95,445.4,580.7
2000-04-19,415.0,459.35,582.2
2000-04-20,415.0,475.1,575.7
2000-04-24,415.3,448.05,530.95
2000-04-25,408.5,456.9,513.6
2000-04-26,413.3,460.65,554.7
2000-04-27,412.3,460.15,574.95
2000-04-28,407.0,472.35,569.2
2000-05-02,407.2,479.35,527.95
2000-05-03,388.85,460.85,525.7
2000-05-04,391.4,455.75,549.15
2000-05-05,394.95,449.0,564.4
2000-05-08,393.1,437.55,520.35
2000-05-09,395.15,424.95,529.1
2000-05-10,391.6,441.75,533.0
2000-05-11,388.25,448.65,533.25
2000-05-12,378.1,461.05,559.45
2000-05-15,373.1,460.4,580.45
2000-05-16,377.3,471.75,625.8
2000-05-17,373.85,461.35,618.55
2000-05-18,371.0,465.45,604.7
2000-05-19,366.5,477.65,619.05
2000-05-22,358.45,486.15,628.45
2000-05-23,397.0,501.9,643.1
2000-05-24,428.25,486.4,624.95
2000-05-25,421.95,473.0,654.55
2000-05-26,424.1,483.3,671.8
2000-05-29,428.3,541.3,670.5
2000-05-30,420.6,543.65,739.15
2000-05-31,426.15,478.45,725.6
2000-06-01,426.25,496.35,695.65
2000-06-02,422.35,525.35,696.5
2000-06-05,418.55,544.7,665.1
2000-06-06,419.9,530.7,667.95
2000-06-07,416.6,513.2,688.25
2000-06-08,415.35,515.25,707.6
2000-06-09,413.2,509.35,699.5
2000-06-12,405.85,503.6,688.25
2000-06-13,408.0,495.35,689.85
2000-06-14,408.55,488.2,697.8
2000-06-15,409.65,484.85,716.9
2000-06-16,408.35,499.85,723.7
2000-06-19,405.85,504.1,737.25
2000-06-20,405.55,509.2,751.4
2000-06-21,405.1,525.1,724.95
2000-06-22,405.5,525.35,736.0
2000-06-23,405.5,536.25,739.4
2000-06-26,403.0,541.15,724.95
2000-06-27,400.05,558.2,720.75
2000-06-28,403.8,551.55,754.4
2000-06-29,404.6,548.15,798.85
2000-06-30,404.3,551.65,791.8
2000-07-03,403.45,548.7,817.15
2000-07-04,400.5,480.0,809.65
2000-07-05,399.5,484.65,798.4
2000-07-06,400.3,511.25,809.4
2000-07-07,400.3,499.9,832.95
2000-07-10,400.7,489.85,837.95
2000-07-11,401.65,481.2,863.25
2000-07-12,409.65,490.55,845.5
2000-07-13,430.45,487.65,833.3
2000-07-14,445.7,478.55,824.85
2000-07-17,438.25,480.95,781.7
2000-07-18,435.25,475.55,805.95
2000-07-19,429.15,475.3,784.7
2000-07-20,433.7,511.65,769.45
2000-07-21,435.7,509.25,753.75
2000-07-24,431.85,501.0,739.15
2000-07-25,435.25,498.4,755.7
2000-07-26,444.5,499.75,732.15
2000-07-27,440.1,500.3,736.65
2000-07-28,436.9,500.05,748.05
2000-07-31,448.85,505.9,741.95
2000-08-01,464.0,499.3,751.7
2000-08-02,272.1,491.75,759.25
2000-08-03,263.4,489.15,749.55
2000-08-04,272.1,503.15,761.05
2000-08-07,270.1,502.75,775.15
2000-08-08,271.8,505.55,778.2
2000-08-09,270.7,493.55,768.4
2000-08-10,268.65,496.05,767.35
2000-08-11,271.45,504.95,761.25
2000-08-14,277.25,503.15,801.85
2000-08-16,271.7,522.8,818.8
2000-08-17,267.8,513.0,799.85
2000-08-18,270.2,501.1,793.55
2000-08-21,270.95,490.4,780.9
2000-08-22,269.8,482.9,766.25
2000-08-23,257.7,489.6,776.65
2000-08-24,261.7,495.35,769.5
2000-08-25,262.0,500.5,760.3
2000-08-28,260.0,500.7,763.95
2000-08-29,253.8,505.0,767.0
2000-08-30,259.65,520.15,759.25
2000-08-31,259.65,524.05,775.95
2000-09-04,259.15,528.25,771.45
2000-09-05,257.05,544.6,772.35
2000-09-06,258.9,539.95,764.5
2000-09-07,258.6,534.3,764.0
2000-09-08,256.65,532.2,762.7
2000-09-11,255.15,529.45,761.1
2000-09-12,251.05,520.65,830.15
2000-09-13,252.35,506.0,840.3
2000-09-14,246.75,513.55,823.55
2000-09-15,247.3,507.5,805.2
2000-09-18,241.35,499.55,779.4
2000-09-19,239.45,502.05,753.95
2000-09-20,236.7,500.0,769.3
2000-09-21,239.65,499.7,772.3
2000-09-22,234.55,481.0,724.5
2000-09-25,229.6,474.95,730.9
2000-09-26,229.95,445.15,731.0
2000-09-27,232.9,426.55,733.3
2000-09-28,226.55,441.05,709.7
2000-09-29,221.75,437.85,713.2
2000-10-03,220.8,433.9,713.35
2000-10-04,224.75,439.0,723.95
2000-10-05,223.15,439.0,723.7
2000-10-06,210.75,449.45,739.75
2000-10-09,213.15,449.25,727.0
2000-10-10,221.85,455.95,720.1
2000-10-11,220.55,448.6,720.55
2000-10-12,221.3,449.65,745.8
2000-10-13,217.05,450.0,764.7
2000-10-16,225.9,450.85,790.1
2000-10-17,228.65,458.8,753.15
2000-10-18,225.05,458.75,740.2
2000-10-19,229.15,477.4,747.85
2000-10-20,229.95,469.75,748.2
2000-10-23,229.45,464.65,746.6
2000-10-24,232.05,457.35,759.2
2000-10-25,233.35,462.2,764.9
2000-10-26,235.8,461.3,767.6
2000-10-27,236.8,464.1,756.4
2000-10-30,235.55,471.45,750.85
2000-10-31,248.5,470.25,759.8
2000-11-01,244.1,480.0,779.75
2000-11-02,243.55,489.85,821.5
2000-11-03,243.9,488.5,808.7
2000-11-06,239.55,482.9,805.1
2000-11-07,236.75,485.6,809.4
2000-11-08,234.95,489.0,788.85
2000-11-09,228.55,488.2,776.5
2000-11-10,221.85,496.85,760.4
2000-11-13,214.65,508.05,754.2
2000-11-14,219.6,496.8,765.5
2000-11-15,223.5,500.4,769.2
2000-11-16,224.4,494.65,757.3
2000-11-17,226.0,489.2,770.6
2000-11-20,228.5,477.35,769.0
2000-11-21,227.8,477.25,778.9
2000-11-22,231.75,474.15,783.75
2000-11-23,226.8,485.5,779.6
2000-11-24,226.65,509.4,783.05
2000-11-27,230.55,525.1,787.7
2000-11-28,253.0,528.0,801.35
2000-11-29,251.75,524.65,817.15
2000-11-30,253.35,529.2,817.25
2000-12-01,248.8,519.5,836.85
2000-12-04,249.65,523.4,846.15
2000-12-05,254.25,522.55,868.0
2000-12-06,252.55,530.75,860.75
2000-12-07,251.95,535.3,862.55
2000-12-08,258.1,546.7,857.8
2000-12-11,263.4,555.6,872.7
2000-12-12,270.65,561.55,903.4
2000-12-13,278.75,555.35,918.1
2000-12-14,276.85,553.3,910.3
2000-12-15,273.05,560.45,924.5
2000-12-18,278.05,555.3,922.55
2000-12-19,274.75,556.5,916.0
2000-12-20,273.65,554.75,896.65
2000-12-21,265.3,545.05,905.9
2000-12-22,271.4,549.3,895.75
2000-12-26,270.35,542.75,868.4
2000-12-27,271.25,536.6,870.7
2000-12-28,278.55,538.7,892.1
2000-12-29,276.65,541.8,896.1
2001-01-01,272.2,538.25,893.85
2001-01-02,273.7,542.15,907.15
2001-01-03,275.05,552.15,944.4
2001-01-04,275.15,550.6,925.5
2001-01-05,268.85,583.3,936.4
2001-01-08,270.5,589.35,910.3
2001-01-09,269.65,595.6,917.8
2001-01-10,265.35,572.45,909.0
2001-01-11,269.0,551.15,898.95
2001-01-12,265.1,547.85,872.1
2001-01-15,265.15,536.35,866.95
2001-01-16,263.75,529.35,865.15
2001-01-17,263.85,531.55,873.35
2001-01-18,263.3,529.9,897.65
2001-01-19,267.7,515.0,915.6
2001-01-22,267.5,505.5,912.85
2001-01-23,263.0,495.5,911.55
2001-01-24,269.9,513.85,909.8
2001-01-25,263.4,545.25,902.55
2001-01-29,260.35,582.2,883.2
2001-01-30,262.35,558.9,904.45
2001-01-31,265.1,554.85,910.95
2001-02-01,260.3,555.15,893.6
2001-02-02,262.3,573.85,900.1
2001-02-05,262.15,558.65,892.3
2001-02-06,272.1,554.55,877.65
2001-02-07,271.7,558.45,788.5
2001-02-08,275.15,573.25,817.55
2001-02-09,275.15,593.05,812.05
2001-02-12,280.1,578.75,811.8
2001-02-13,274.05,574.75,801.0
2001-02-14,274.2,571.1,806.65
2001-02-15,272.4,574.35,820.6
2001-02-16,269.8,567.4,812.05
2001-02-19,265.7,577.7,794.4
2001-02-20,265.65,568.6,778.95
2001-02-21,265.3,567.9,790.1
2001-02-22,267.0,562.8,819.6
2001-02-23,262.0,555.6,808.55
2001-02-26,266.9,569.7,811.4
2001-02-27,265.3,591.3,828.35
2001-02-28,266.0,593.5,776.2
2001-03-01,267.6,598.5,758.85
2001-03-02,268.25,556.1,754.15
2001-03-05,265.9,526.15,736.3
2001-03-07,264.1,544.05,745.15
2001-03-08,263.65,540.8,796.3
2001-03-09,261.45,540.35,791.45
2001-03-12,264.1,545.05,764.55
2001-03-13,259.8,546.0,702.95
2001-03-14,254.65,594.0,752.95
2001-03-15,250.4,572.7,773.65
2001-03-16,240.75,571.85,780.4
2001-03-19,246.5,569.45,784.35
2001-03-20,243.85,556.8,784.3
2001-03-21,244.85,568.8,799.25
