SYMBOL,HINDLEVER,JSWSTL,WIPRO
Date,,,
2000-01-03,2307.55,390.15,2724.2
2000-01-04,2281.05,369.2,2942.15
2000-01-05,2199.9,378.85,2990.1
2000-01-06,2288.2,368.05,2932.25
2000-01-07,2412.95,362.15,2697.7
2000-01-10,2431.25,362.5,2701.35
2000-01-11,2485.8,391.55,2485.45
2000-01-12,2647.8,373.65,2562.9
2000-01-13,2786.65,365.75,2480.25
2000-01-14,2702.1,371.9,2497.85
2000-01-17,2598.25,367.8,2697.7
2000-01-18,2561.45,362.1,2677.15
2000-01-19,2528.95,361.7,2784.5
2000-01-20,2524.4,368.9,2796.4
2000-01-21,2548.1,366.35,2989.7
2000-01-24,2578.5,354.2,3228.9
2000-01-25,2552.05,358.35,3487.25
2000-01-27,2559.65,346.75,3766.25
2000-01-28,2523.75,355.7,4067.55
2000-01-31,2440.0,361.1,3805.0
2000-02-01,2326.7,358.2,4109.4
2000-02-02,2406.95,350.85,4438.15
2000-02-03,2437.9,344.85,4793.2
2000-02-04,2346.75,333.1,5176.7
2000-02-07,2308.95,327.65,5259.15
2000-02-08,2306.95,315.65,4868.05
2000-02-09,2418.1,310.85,5209.5
2000-02-10,2331.1,312.45,5626.3
2000-02-11,2376.5,316.6,6076.4
2000-02-14,2300.3,327.65,6562.55
2000-02-15,2302.0,326.95,7087.55
2000-02-16,2311.05,332.45,7654.55
2000-02-17,2327.05,337.6,8266.95
2000-02-18,2513.0,329.15,8928.35
2000-02-21,2714.05,333.85,9587.45
2000-02-22,2931.2,337.5,8820.45
2000-02-23,2875.9,339.15,8114.85
2000-02-24,3086.75,339.5,7465.7
2000-02-25,3141.25,337.85,6868.45
2000-02-28,3055.55,332.6,6994.45
2000-02-29,2864.2,326.15,6616.75
2000-03-01,2990.7,317.8,7144.4
2000-03-02,2817.8,310.05,7495.85
2000-03-03,2593.6,306.15,6896.2
2000-03-06,2473.2,296.65,6938.8
2000-03-07,2482.5,307.05,6473.15
2000-03-08,2492.3,311.3,6761.95
2000-03-09,2402.1,314.75,6433.85
2000-03-10,2362.7,309.7,6342.25
2000-03-13,2519.2,304.0,5834.9
2000-03-14,2668.15,304.05,5368.15
2000-03-15,2881.6,302.0,4938.7
2000-03-16,2916.25,304.2,4596.2
2000-03-21,2828.6,298.2,4245.0
2000-03-22,2714.0,288.7,4584.6
2000-03-23,2640.75,291.25,4951.4
2000-03-24,2613.35,287.2,5347.55
2000-03-27,2505.2,281.0,5775.35
2000-03-28,2508.25,278.85,6117.7
2000-03-29,2480.15,285.45,6607.15
2000-03-30,2517.4,280.9,6078.6
2000-03-31,2412.4,273.4,5592.35
2000-04-03,2605.4,274.25,5145.0
2000-04-04,2397.8,276.5,4733.4
2000-04-05,2540.45,277.75,4780.85
2000-04-06,2548.5,275.8,4883.85
2000-04-07,2736.35,271.4,5274.6
2000-04-10,2744.6,262.5,5696.6
2000-04-11,2703.5,248.9,5627.95
2000-04-12,2631.55,258.7,5413.8
2000-04-13,2577.8,250.9,4980.7
2000-04-17,2480.9,248.9,4582.25
2000-04-18,2466.2,248.95,4215.7
2000-04-19,2503.65,253.9,3995.6
2000-04-20,2529.1,264.5,4095.95
2000-04-24,2545.0,262.95,4087.95
2000-04-25,2428.7,267.2,3760.95
2000-04-26,2498.15,268.7,3995.35
2000-04-27,2475.15,262.25,3675.75
2000-04-28,2398.0,258.2,3381.7
2000-05-02,2186.8,258.0,2975.9
2000-05-03,2185.95,256.3,2639.85
2000-05-04,2409.95,259.5,2943.3
2000-05-05,2536.5,266.7,3268.35
2000-05-08,2392.95,271.15,2878.1
2000-05-09,2456.05,273.35,2945.3
2000-05-10,2415.9,275.35,2854.9
2000-05-11,2290.95,274.4,2540.4
2000-05-12,2278.15,278.6,2427.1
2000-05-15,2323.4,275.2,2460.15
2000-05-16,2328.6,271.7,2440.8
2000-05-17,2317.2,267.95,2350.1
2000-05-18,2354.8,265.9,2068.1
2000-05-19,2246.6,266.55,1999.65
2000-05-22,2220.85,276.8,1787.1
2000-05-23,2203.55,277.5,1830.05
2000-05-24,2221.15,274.05,1817.05
2000-05-25,2236.25,273.55,1812.6
2000-05-26,2503.0,281.7,1610.7
2000-05-29,2572.3,286.05,1671.4
2000-05-30,2548.65,285.85,1722.15
2000-05-31,2578.8,289.25,1867.85
2000-06-01,2490.35,291.95,1756.7
2000-06-02,2554.85,281.25,1889.85
2000-06-05,2564.9,283.7,2061.85
2000-06-06,2592.2,288.45,2296.2
2000-06-07,2575.1,277.5,2428.75
2000-06-08,2611.3,268.2,2442.5
2000-06-09,2605.05,274.4,2395.15
2000-06-12,2536.55,276.25,2376.45
2000-06-13,2499.3,273.15,2363.35
2000-06-14,2533.4,275.85,2401.55
2000-06-15,2484.6,274.8,2583.75
2000-06-16,2492.2,276.35,2807.55
2000-06-19,2533.65,278.6,2956.5
2000-06-20,2511.4,270.65,2970.35
2000-06-21,2573.2,271.6,2730.05
2000-06-22,2655.65,276.1,2755.7
2000-06-23,2806.95,282.6,2616.25
2000-06-26,2759.85,288.25,2828.35
2000-06-27,2823.65,297.5,2764.0
2000-06-28,2881.75,295.4,2864.05
2000-06-29,2889.5,296.5,2875.8
2000-06-30,2837.7,314.55,2930.85
2000-07-03,2704.45,315.55,3115.45
2000-07-04,2771.7,310.3,3267.65
2000-07-05,286.7,300.15,3198.05
2000-07-06,279.8,281.4,3103.3
2000-07-07,276.9,284.45,3013.95
2000-07-10,279.0,291.6,3023.85
2000-07-11,278.1,295.7,2882.25
2000-07-12,282.55,295.8,3011.0
2000-07-13,292.9,296.05,2900.05
2000-07-14,295.2,290.0,2847.85
2000-07-17,278.4,292.85,2845.55
2000-07-18,275.95,293.95,2768.85
2000-07-19,267.55,291.75,2722.7
2000-07-20,261.8,283.4,2698.65
2000-07-21,256.5,281.3,2588.15
2000-07-24,240.4,276.55,2317.35
2000-07-25,239.5,280.65,2515.35
2000-07-26,240.75,269.8,2419.5
2000-07-27,240.55,257.6,2512.1
2000-07-28,236.4,254.05,2450.15
2000-07-31,240.75,251.1,2411.3
2000-08-01,240.75,240.7,2402.7
2000-08-02,240.7,221.55,2440.5
2000-08-03,238.2,218.1,2375.9
2000-08-04,255.8,212.45,2198.45
2000-08-07,256.0,205.25,2204.6
2000-08-08,250.15,209.95,2383.4
2000-08-09,239.85,200.45,2448.05
2000-08-10,240.7,201.55,2321.45
2000-08-11,232.8,209.7,2363.95
2000-08-14,235.8,212.85,2441.35
2000-08-16,243.7,212.35,2561.85
2000-08-17,243.25,215.1,2496.45
2000-08-18,244.7,214.25,2645.2
2000-08-21,245.25,210.1,2699.2
2000-08-22,242.55,209.25,2768.2
2000-08-23,248.6,214.15,2779.15
2000-08-24,244.1,219.55,3062.05
2000-08-25,241.35,218.6,3085.65
2000-08-28,241.25,217.95,3051.45
2000-08-29,238.8,221.6,3105.8
2000-08-30,238.95,217.6,3271.85
2000-08-31,238.95,211.55,3261.45
2000-09-04,246.2,205.4,3452.45
2000-09-05,244.35,202.45,3379.35
2000-09-06,251.85,202.2,3358.05
2000-09-07,252.1,202.3,3348.45
2000-09-08,249.35,205.9,3327.35
2000-09-11,251.25,211.75,3260.95
2000-09-12,252.75,207.05,3240.15
2000-09-13,249.35,205.2,3264.8
2000-09-14,240.9,209.2,3180.85
2000-09-15,240.75,204.7,2954.8
2000-09-18,237.6,204.3,2699.8
2000-09-19,231.65,207.7,2634.0
2000-09-20,229.75,212.6,2756.95
2000-09-21,232.25,213.35,2649.65
2000-09-22,222.65,225.85,2459.95
2000-09-25,212.0,224.9,2813.4
2000-09-26,210.95,225.6,2695.6
2000-09-27,213.25,226.9,2721.15
2000-09-28,200.4,230.35,2650.4
2000-09-29,208.55,236.45,2656.45
2000-10-03,211.75,229.95,2624.7
2000-10-04,214.05,225.65,2686.9
2000-10-05,214.9,222.8,2643.9
2000-10-06,213.85,220.4,2608.15
2000-10-09,206.0,209.9,2527.95
2000-10-10,191.3,209.95,2437.7
2000-10-11,189.7,216.15,2285.35
2000-10-12,192.5,223.55,2327.55
2000-10-13,185.0,229.45,2177.35
2000-10-16,172.9,231.55,2215.05
2000-10-17,172.35,225.3,2109.4
2000-10-18,172.1,222.15,1914.85
2000-10-19,177.35,219.25,2194.5
2000-10-20,174.7,220.9,2294.65
2000-10-23,170.4,223.4,2161.25
2000-10-24,168.8,221.3,2191.8
2000-10-25,173.65,216.8,2280.35
2000-10-26,174.05,216.85,2288.15
2000-10-27,169.0,208.8,2313.4
2000-10-30,173.55,206.6,2240.7
2000-10-31,177.9,203.75,2348.5
2000-11-01,181.35,206.1,2415.0
2000-11-02,182.05,204.05,2376.0
2000-11-03,184.35,200.65,2404.9
2000-11-06,176.65,198.5,2339.7
2000-11-07,179.45,198.85,2322.9
2000-11-08,186.5,208.7,2378.5
2000-11-09,191.1,198.45,2423.25
2000-11-10,186.4,196.05,2348.4
2000-11-13,184.75,194.1,2185.9
2000-11-14,186.45,189.1,2312.1
2000-11-15,188.55,185.6,2372.9
2000-11-16,182.5,187.5,2374.4
2000-11-17,183.55,186.9,2400.9
2000-11-20,185.1,184.6,2480.95
2000-11-21,183.9,186.4,2548.1
2000-11-22,182.15,189.6,2473.6
2000-11-23,174.25,192.05,2443.1
2000-11-24,172.55,190.55,2491.8
2000-11-27,175.4,194.4,2618.35
2000-11-28,184.05,188.6,2597.1
2000-11-29,185.35,190.45,2613.0
2000-11-30,193.5,194.95,2577.6
2000-12-01,194.35,200.45,2820.1
2000-12-04,187.8,206.35,2783.05
2000-12-05,186.1,207.75,2922.75
2000-12-06,194.8,204.05,2918.75
2000-12-07,192.35,205.1,2935.4
2000-12-08,191.4,208.3,3010.45
2000-12-11,192.0,225.15,2997.95
2000-12-12,189.15,232.25,2986.05
2000-12-13,191.9,242.1,3010.45
2000-12-14,193.15,257.2,2939.85
2000-12-15,193.35,243.25,2782.3
2000-12-18,198.15,256.15,2810.7
2000-12-19,202.8,248.7,2652.15
2000-12-20,195.55,244.0,2616.15
2000-12-21,199.15,242.25,2499.8
2000-12-22,200.35,245.15,2304.45
2000-12-26,203.0,238.5,2181.0
2000-12-27,210.05,246.35,2247.3
2000-12-28,206.45,253.8,2297.05
2000-12-29,206.55,254.95,2399.25
2001-01-01,199.6,256.0,2365.95
2001-01-02,198.6,264.65,2414.8
2001-01-03,201.65,291.6,2403.8
2001-01-04,210.75,300.95,2658.0
2001-01-05,207.45,300.05,2791.65
2001-01-08,210.0,309.05,2663.25
2001-01-09,216.5,302.85,2702.5
2001-01-10,206.7,318.1,2716.0
2001-01-11,204.55,315.2,2526.85
2001-01-12,201.15,318.3,2560.45
2001-01-15,194.0,323.75,2558.4
2001-01-16,199.9,359.65,2516.3
2001-01-17,204.15,353.1,2501.6
2001-01-18,199.8,350.75,2641.4
2001-01-19,200.25,367.45,2913.25
2001-01-22,201.0,363.2,2884.2
2001-01-23,201.2,353.2,2821.95
2001-01-24,203.1,358.4,2854.45
2001-01-25,205.85,341.8,2840.35
2001-01-29,203.6,340.45,2720.0
2001-01-30,211.2,336.55,2829.1
2001-01-31,206.9,345.55,2790.3
2001-02-01,203.75,355.15,2745.65
2001-02-02,200.0,345.15,2812.3
2001-02-05,200.05,348.8,2790.95
2001-02-06,201.5,356.5,2861.1
2001-02-07,202.85,355.7,2826.3
2001-02-08,209.5,347.55,2882.1
2001-02-09,213.25,347.65,2934.25
2001-02-12,215.75,342.9,2981.35
2001-02-13,208.5,335.8,3002.15
2001-02-14,207.5,329.55,2904.25
2001-02-15,220.55,313.15,2942.05
2001-02-16,216.15,313.8,2839.15
2001-02-19,216.2,294.45,2860.2
2001-02-20,218.65,298.2,2815.0
2001-02-21,222.4,319.35,2732.95
2001-02-22,217.9,286.35,2615.5
2001-02-23,217.0,272.2,2531.25
2001-02-26,208.0,260.0,2521.55
2001-02-27,206.15,265.95,2340.2
2001-02-28,229.7,261.15,2542.4
2001-03-01,231.1,256.65,2404.95
2001-03-02,230.8,280.35,2099.45
2001-03-05,225.2,302.0,2006.85
2001-03-07,225.45,303.35,2148.25
2001-03-08,227.95,290.3,2233.1
2001-03-09,224.3,276.6,1978.95
2001-03-12,215.75,285.05,1662.35
2001-03-13,211.35,273.75,1397.8
2001-03-14,216.9,260.0,1589.9
2001-03-15,221.3,246.1,1686.1
2001-03-16,219.5,230.3,1657.0
2001-03-19,218.0,255.65,1644.0
2001-03-20,214.8,245.7,1612.25
2001-03-21,223.55,222.1,1595.45
2001-03-22,219.2,210.8,1505.8
2001-03-23,215.2,231.2,1419.55
2001-03-26,211.1,228.0,1423.2
2001-03-27,210.05,245.85,1448.95
2001-03-28,220.6,246.35,1495.15
2001-03-29,226.45,256.85,1421.5
2001-03-30,219.25,259.5,1338.4
2001-04-02,222.2,269.85,1268.45
2001-04-03,222.25,274.05,1298.55
2001-04-04,218.35,268.5,1231.8
2001-04-06,219.05,276.65,1156.75
2001-04-09,214.25,267.45,1156.05
2001-04-10,215.9,269.8,1075.85
2001-04-11,213.7,275.25,903.75
2001-04-12,210.15,275.85,842.6
2001-04-16,206.35,275.9,977.45
2001-04-17,211.05,277.75,1079.4
2001-04-18,209.75,284.0,1249.3
2001-04-19,213.95,277.4,1292.2
2001-04-20,219.05,277.45,1372.65
2001-04-23,220.3,273.75,1368.95
2001-04-24,215.05,274.25,1489.5
2001-04-25,213.55,269.6,1479.7
2001-04-26,209.0,263.2,1443.65
2001-04-27,211.25,254.65,1246.45
2001-04-30,210.4,246.05,1417.05
2001-05-02,210.1,246.45,1501.85
2001-05-03,211.25,249.8,1586.35
2001-05-04,210.3,244.65,1651.45
2001-05-07,210.8,238.6,1725.75
2001-05-08,213.15,236.25,1768.6
2001-05-09,215.45,232.4,1622.5
2001-05-10,210.2,229.15,1615.45
2001-05-11,210.2,226.2,1591.05
2001-05-14,211.25,239.2,1577.05
2001-05-15,210.3,236.25,1611.0
2001-05-16,212.35,246.25,1656.6
2001-05-17,211.65,242.55,1665.9
2001-05-18,207.25,240.3,1643.25
2001-05-21,201.45,237.9,1689.0
2001-05-22,202.05,239.55,1734.45
2001-05-23,201.6,244.2,1767.7
2001-05-24,201.85,243.25,1782.15
2001-05-25,200.25,242.75,1789.4
2001-05-28,200.15,246.35,1843.3
2001-05-29,200.25,279.05,1852.65
2001-05-30,200.85,275.75,1735.25
2001-05-31,197.95,276.8,1673.5
2001-06-01,193.15,275.3,1669.85
2001-06-04,187.45,283.75,1556.7
2001-06-05,183.05,291.2,1548.0
2001-06-06,184.2,289.25,1599.55
2001-06-07,186.05,290.0,1597.2
2001-06-08,186.4,293.15,1682.15
2001-06-11,190.8,291.9,1692.05
2001-06-12,192.7,278.2,1736.6
2001-06-13,193.2,275.55,1740.55
2001-06-14,193.45,276.7,1657.95
2001-06-15,198.2,279.85,1565.45
2001-06-18,197.7,284.9,1550.5
2001-06-19,200.85,279.65,1560.05
2001-06-20,206.65,278.85,1521.0
2001-06-21,205.2,275.1,1525.65
2001-06-22,204.15,273.15,1481.7
2001-06-25,200.3,275.15,1281.8
2001-06-26,197.95,272.15,1376.75
2001-06-27,197.45,272.75,1393.0
2001-06-28,196.85,270.4,1380.9
2001-06-29,205.4,268.05,1405.8
2001-07-02,198.5,265.05,1337.75
2001-07-03,202.95,263.9,1294.6
2001-07-04,197.25,268.85,1241.9
2001-07-05,197.25,275.7,1250.85
2001-07-06,197.65,278.5,1213.85
2001-07-09,198.3,274.55,1188.8
2001-07-10,200.65,284.75,1240.65
2001-07-11,204.25,281.25,1208.35
2001-07-12,213.95,285.4,1315.85
2001-07-13,223.6,289.15,1315.9
2001-07-16,224.6,287.4,1304.2
2001-07-17,224.75,287.4,1273.8
2001-07-18,218.95,307.6,1374.6
2001-07-19,212.95,300.85,1364.65
2001-07-20,216.1,296.65,1393.6
2001-07-23,215.3,292.1,1356.3
2001-07-24,217.45,303.6,1351.4
2001-07-25,223.45,296.65,1368.8
2001-07-26,218.75,301.05,1350.55
2001-07-27,217.55,305.55,1345.6
2001-07-30,217.65,315.65,1358.95
2001-07-31,220.8,325.85,1443.3
2001-08-01,211.65,329.05,1500.8
2001-08-02,210.85,330.4,1536.45
2001-08-03,213.5,333.9,1541.2
2001-08-06,214.0,334.5,1531.9
2001-08-07,211.2,344.75,1527.2
2001-08-08,212.7,340.8,1509.7
2001-08-09,217.25,339.55,1487.95
2001-08-10,214.9,333.45,1424.1
2001-08-13,212.6,324.95,1371.55
2001-08-14,216.1,325.35,1444.7
2001-08-16,221.85,339.2,1463.3
2001-08-17,218.5,335.3,1435.4
2001-08-20,219.25,334.45,1420.75
2001-08-21,223.7,334.65,1436.8
2001-08-23,221.95,335.45,1418.9
2001-08-24,218.75,339.8,1492.85
2001-08-27,221.1,334.85,1539.15
2001-08-28,219.15,327.9,1500.7
2001-08-29,219.45,327.3,1524.5
2001-08-30,218.45,316.4,1543.15
2001-08-31,218.75,313.95,1499.0
2001-09-03,219.7,331.85,1417.5
2001-09-04,219.9,323.45,1499.45
2001-09-05,215.15,332.5,1450.0
2001-09-06,219.45,331.15,1434.1
2001-09-07,219.65,332.1,1484.3
2001-09-10,218.4,323.75,1454.65
2001-09-11,210.45,333.45,1493.75
2001-09-12,205.2,326.9,1433.95
2001-09-13,205.1,328.55,1428.95
2001-09-14,200.5,330.55,1255.4
2001-09-17,188.1,334.8,1086.4
2001-09-18,203.8,337.45,1098.35
2001-09-19,211.7,336.55,998.7
2001-09-20,210.25,328.25,951.65
2001-09-21,194.15,319.7,878.7
2001-09-24,194.35,314.75,1048.95
2001-09-25,191.1,313.1,1057.5
2001-09-26,192.05,322.4,1146.0
2001-09-27,199.05,339.05,1015.1
2001-09-28,207.05,337.95,1040.6
2001-10-01,210.1,331.2,1034.25
2001-10-03,212.1,349.2,922.85
2001-10-04,212.6,362.05,938.1
2001-10-05,212.05,378.55,921.8
2001-10-08,208.3,373.55,888.8
2001-10-09,211.15,374.65,916.65
2001-10-10,229.75,377.35,974.55
2001-10-11,226.65,386.7,1022.6
2001-10-12,225.25,395.6,1048.45
2001-10-15,223.95,403.7,1018.0
2001-10-16,227.35,392.15,1102.95
2001-10-17,226.75,396.7,1179.3
2001-10-18,220.5,388.85,1095.95
2001-10-19,218.15,408.1,1102.75
2001-10-22,214.25,398.8,1134.6
2001-10-23,220.65,406.2,1126.95
2001-10-24,215.55,416.05,1107.95
2001-10-25,211.85,416.55,1115.95
2001-10-29,211.55,421.3,1132.95
2001-10-30,210.0,435.15,1038.55
2001-10-31,214.8,424.95,1071.55
2001-11-01,215.2,424.8,1069.05
2001-11-02,219.15,422.55,1031.8
2001-11-05,214.65,403.45,1028.5
2001-11-06,217.4,429.8,1107.5
2001-11-07,215.15,441.7,1097.05
2001-11-08,216.7,443.9,1062.95
2001-11-09,216.35,458.4,1079.15
2001-11-12,215.4,466.4,1089.85
2001-11-13,214.05,461.85,1081.65
2001-11-14,215.5,455.4,1112.4
2001-11-15,216.45,461.9,1238.65
2001-11-19,220.45,465.7,1345.85
2001-11-20,214.5,458.3,1322.85
2001-11-21,215.0,446.55,1348.3
2001-11-22,214.75,432.1,1363.2
2001-11-23,214.55,440.4,1332.4
2001-11-26,214.25,445.05,1462.9
2001-11-27,211.95,465.0,1533.75
2001-11-28,212.45,450.85,1463.7
2001-11-29,210.2,453.15,1442.35
2001-12-03,209.7,451.45,1531.4
2001-12-04,213.35,453.05,1592.9
2001-12-05,217.85,462.0,1761.1
2001-12-06,215.65,488.25,1769.95
2001-12-07,214.65,486.55,1769.6
2001-12-10,214.75,467.8,1723.75
2001-12-11,216.95,480.8,1656.7
