SYMBOL,UTIBANK,TITAN,SUNPHARMA
Date,,,
2000-01-03,26.7,155.7,1835.05
2000-01-04,26.85,147.4,1810.45
2000-01-05,26.3,138.4,1746.9
2000-01-06,25.95,149.5,1745.2
2000-01-07,24.8,146.35,1605.6
2000-01-10,25.0,144.9,1531.85
2000-01-11,23.2,141.0,1507.2
2000-01-12,24.0,147.9,1417.0
2000-01-13,23.6,148.85,1492.5
2000-01-14,23.25,144.5,1578.35
2000-01-17,25.15,143.75,1704.65
2000-01-18,24.9,139.2,1644.75
2000-01-19,25.6,142.15,1702.3
2000-01-20,24.45,141.1,1675.35
2000-01-21,25.1,138.85,1809.4
2000-01-24,24.8,140.05,1899.25
2000-01-25,25.05,137.7,1944.1
2000-01-27,27.05,138.7,1871.7
2000-01-28,29.25,136.2,1928.6
2000-01-31,31.6,136.05,1938.9
2000-02-01,34.15,134.75,2094.05
2000-02-02,36.9,129.1,2261.45
2000-02-03,39.85,125.55,2214.75
2000-02-04,43.05,123.7,2137.0
2000-02-07,39.65,114.0,2127.3
2000-02-08,37.95,118.1,2237.95
2000-02-09,36.05,117.5,2159.9
2000-02-10,38.95,117.1,2145.6
2000-02-11,42.1,108.7,2097.35
2000-02-14,38.75,102.05,2114.1
2000-02-15,35.65,102.05,2031.75
2000-02-16,38.1,104.0,2050.15
2000-02-17,38.5,109.95,2214.2
2000-02-18,36.6,106.75,2391.35
2000-02-21,35.4,106.45,2582.7
2000-02-22,33.75,107.25,2673.8
2000-02-23,34.55,108.5,2584.8
2000-02-24,37.35,107.05,2766.7
2000-02-25,39.45,102.6,2664.05
2000-02-28,38.85,102.95,2877.0
2000-02-29,36.25,101.1,2665.15
2000-03-01,39.15,101.65,2469.15
2000-03-02,38.2,96.2,2501.25
2000-03-03,35.55,89.4,2301.15
2000-03-06,35.2,87.6,2117.1
2000-03-07,32.65,85.2,2023.35
2000-03-08,30.6,80.0,649.8
2000-03-09,28.5,74.05,653.3
2000-03-10,28.05,72.45,645.7
2000-03-13,28.35,74.5,667.85
2000-03-14,27.4,80.5,721.3
2000-03-15,29.6,86.95,746.1
2000-03-16,31.9,91.0,761.95
2000-03-21,30.8,90.4,798.9
2000-03-22,32.35,96.2,735.0
2000-03-23,31.45,98.1,725.2
2000-03-24,31.9,94.5,733.25
2000-03-27,30.6,88.6,675.0
2000-03-28,31.7,88.45,621.8
2000-03-29,34.25,88.1,593.65
2000-03-30,36.75,89.55,611.95
2000-03-31,39.7,89.9,633.15
2000-04-03,38.9,90.0,586.4
2000-04-04,35.8,85.15,539.5
2000-04-05,34.7,83.55,566.05
2000-04-06,32.8,77.15,537.45
2000-04-07,35.45,83.35,580.45
2000-04-10,37.95,83.6,626.9
2000-04-11,36.7,83.8,593.4
2000-04-12,36.95,82.35,605.55
2000-04-13,35.0,81.5,578.65
2000-04-17,34.05,83.15,532.4
2000-04-18,34.4,81.45,544.55
2000-04-19,33.85,81.75,501.0
2000-04-20,33.45,80.5,493.95
2000-04-24,32.55,75.2,472.95
2000-04-25,31.1,70.75,436.3
2000-04-26,33.6,76.0,430.45
2000-04-27,34.95,73.15,397.15
2000-04-28,34.5,69.95,369.2
2000-05-02,35.85,68.2,324.9
2000-05-03,36.25,70.0,360.0
2000-05-04,36.05,69.8,403.2
2000-05-05,35.7,68.95,451.6
2000-05-08,34.6,65.6,461.1
2000-05-09,36.15,65.5,449.15
2000-05-10,35.8,62.5,431.5
2000-05-11,35.15,60.45,398.4
2000-05-12,35.25,61.1,357.05
2000-05-15,35.45,59.6,354.2
2000-05-16,35.35,59.85,385.85
2000-05-17,37.25,62.6,400.6
2000-05-18,36.75,62.8,409.4
2000-05-19,37.05,59.7,454.15
2000-05-22,36.15,59.85,442.05
2000-05-23,35.0,60.05,430.25
2000-05-24,35.35,63.0,442.15
2000-05-25,35.1,66.3,436.65
2000-05-26,34.95,68.0,416.75
2000-05-29,35.45,69.05,427.25
2000-05-30,35.3,71.55,437.3
2000-05-31,36.1,73.95,443.6
2000-06-01,35.6,69.75,436.15
2000-06-02,35.15,70.7,450.8
2000-06-05,35.4,70.75,467.7
2000-06-06,35.45,68.5,482.7
2000-06-07,35.6,69.25,509.45
2000-06-08,35.9,69.0,569.25
2000-06-09,35.45,67.9,527.45
2000-06-12,32.7,67.8,489.0
2000-06-13,32.85,66.85,491.7
2000-06-14,33.2,68.95,503.1
2000-06-15,33.45,67.6,501.9
2000-06-16,33.9,67.3,506.4
2000-06-19,33.9,71.7,543.7
2000-06-20,33.75,71.65,605.95
2000-06-21,33.6,69.6,574.15
2000-06-22,33.75,69.85,563.25
2000-06-23,33.3,69.95,558.45
2000-06-26,32.85,68.4,550.1
2000-06-27,32.55,67.25,528.7
2000-06-28,33.0,67.95,537.8
2000-06-29,32.9,66.9,537.95
2000-06-30,33.0,66.4,540.05
2000-07-03,33.55,65.65,566.95
2000-07-04,33.1,65.5,625.8
2000-07-05,33.5,67.3,596.4
2000-07-06,34.45,67.4,600.7
2000-07-07,33.85,67.0,608.55
2000-07-10,33.7,66.9,607.85
2000-07-11,33.25,66.7,593.6
2000-07-12,34.85,69.1,556.7
2000-07-13,37.65,68.75,561.5
2000-07-14,40.7,67.7,572.95
2000-07-17,39.05,71.8,588.45
2000-07-18,39.6,72.9,588.7
2000-07-19,42.25,70.5,580.45
2000-07-20,40.9,69.0,580.7
2000-07-21,41.8,68.4,592.75
2000-07-24,38.5,65.45,570.85
2000-07-25,39.25,66.35,606.7
2000-07-26,39.95,66.5,600.25
2000-07-27,39.75,66.2,609.25
2000-07-28,39.85,61.35,603.9
2000-07-31,39.5,58.95,607.1
2000-08-01,38.9,55.95,591.05
2000-08-02,39.05,52.45,595.25
2000-08-03,38.95,51.55,589.75
2000-08-04,37.75,50.9,599.25
2000-08-07,38.05,51.25,592.15
2000-08-08,37.55,49.9,591.15
2000-08-09,38.1,52.8,595.4
2000-08-10,38.15,52.05,599.6
2000-08-11,37.8,51.65,595.65
2000-08-14,37.25,51.2,593.4
2000-08-16,37.95,52.95,626.5
2000-08-17,37.85,52.85,586.4
2000-08-18,37.9,52.55,592.0
2000-08-21,37.7,53.35,592.5
2000-08-22,37.65,53.25,587.95
2000-08-23,38.2,55.25,588.7
2000-08-24,37.9,55.25,584.8
2000-08-25,37.95,54.75,587.6
2000-08-28,37.85,56.25,581.45
2000-08-29,37.65,56.85,563.25
2000-08-30,38.4,57.25,560.85
2000-08-31,38.1,60.1,561.95
2000-09-04,38.05,57.85,559.0
2000-09-05,37.9,58.2,532.65
2000-09-06,39.45,58.35,530.05
2000-09-07,40.15,59.2,533.8
2000-09-08,40.15,59.95,545.15
2000-09-11,40.1,59.2,572.35
2000-09-12,39.85,58.55,545.45
2000-09-13,39.65,58.0,536.35
2000-09-14,39.15,56.1,535.0
2000-09-15,37.95,55.2,521.55
2000-09-18,36.1,53.65,490.05
2000-09-19,35.8,52.5,469.75
2000-09-20,36.95,53.95,491.5
2000-09-21,37.0,54.0,481.75
2000-09-22,35.4,52.4,446.35
2000-09-25,36.7,53.3,479.45
2000-09-26,36.3,52.7,466.1
2000-09-27,36.95,52.25,456.55
2000-09-28,36.4,51.45,451.95
2000-09-29,36.2,51.0,435.05
2000-10-03,36.05,51.5,414.35
2000-10-04,36.6,53.25,436.15
2000-10-05,36.1,51.6,450.95
2000-10-06,35.95,52.4,473.05
2000-10-09,35.25,51.5,462.15
2000-10-10,34.75,50.0,448.75
2000-10-11,34.1,50.6,433.95
2000-10-12,33.35,48.8,434.8
2000-10-13,32.05,48.15,424.45
2000-10-16,34.65,49.6,454.25
2000-10-17,35.7,49.2,469.95
2000-10-18,36.65,49.85,442.65
2000-10-19,38.3,50.5,453.3
2000-10-20,37.35,51.75,479.35
2000-10-23,37.25,52.0,467.4
2000-10-24,37.25,52.0,467.3
2000-10-25,38.1,52.85,487.9
2000-10-26,38.15,53.8,507.65
2000-10-27,38.4,52.6,544.2
2000-10-30,38.25,52.45,531.05
2000-10-31,38.15,51.85,544.0
2000-11-01,38.4,54.05,532.65
2000-11-02,38.7,55.1,538.4
2000-11-03,39.1,56.2,541.85
2000-11-06,39.3,57.7,535.9
2000-11-07,38.8,58.1,540.5
2000-11-08,39.5,58.5,557.55
2000-11-09,39.25,57.2,553.85
2000-11-10,39.45,56.45,541.5
2000-11-13,38.65,55.15,514.0
2000-11-14,38.9,55.25,528.4
2000-11-15,39.95,55.3,535.85
2000-11-16,43.15,56.6,528.4
2000-11-17,41.85,54.95,524.65
2000-11-20,44.5,55.5,523.15
2000-11-21,48.05,55.35,525.05
2000-11-22,48.7,55.0,527.55
2000-11-23,46.7,55.35,529.05
2000-11-24,46.4,51.0,529.05
2000-11-27,47.1,56.1,548.9
2000-11-28,45.05,62.1,538.25
2000-11-29,44.65,64.05,524.9
2000-11-30,44.55,62.5,505.7
2000-12-01,43.95,58.7,513.3
2000-12-04,43.55,60.9,512.9
2000-12-05,43.95,60.0,520.45
2000-12-06,44.8,63.9,523.4
2000-12-07,44.85,66.75,526.65
2000-12-08,45.8,73.1,532.55
2000-12-11,49.5,70.0,537.2
2000-12-12,47.0,67.8,549.75
2000-12-13,47.6,68.95,565.6
2000-12-14,46.45,67.15,584.15
2000-12-15,45.15,62.9,562.7
2000-12-18,45.6,61.35,570.55
2000-12-19,44.75,58.65,564.1
2000-12-20,45.5,61.0,547.65
2000-12-21,45.05,59.7,541.15
2000-12-22,44.9,55.65,525.5
2000-12-26,43.9,54.65,515.45
2000-12-27,45.25,56.25,527.15
2000-12-28,45.05,57.25,535.45
2000-12-29,45.2,60.75,537.9
2001-01-01,45.5,60.85,524.9
2001-01-02,45.75,61.75,534.25
2001-01-03,47.05,67.35,570.4
2001-01-04,46.2,72.45,560.5
2001-01-05,46.5,71.25,561.45
2001-01-08,46.6,68.75,549.05
2001-01-09,46.0,70.75,548.3
2001-01-10,46.15,75.75,551.75
2001-01-11,46.2,73.15,550.05
2001-01-12,46.5,69.7,538.95
2001-01-15,45.95,70.8,538.4
2001-01-16,45.85,69.55,552.4
2001-01-17,47.2,69.65,548.6
2001-01-18,47.4,70.2,549.7
